PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;OPLEIDINGSFASE ACTUEEL;2012 MAN;2012 VROUW;2013 MAN;2013 VROUW;2014 MAN;2014 VROUW;2015 MAN;2015 VROUW;2016 MAN;2016 VROUW
Gelderland;0200;APELDOORN;WO kleine univ.;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);56109;B Theologie;voltijd onderwijs;bachelor;28;3;27;7;23;8;33;13;39;10
Gelderland;0200;APELDOORN;WO kleine univ.;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);56109;B Theologie;voltijd onderwijs;propedeuse bachelor;16;8;21;9;31;11;18;6;16;8
Gelderland;0200;APELDOORN;WO kleine univ.;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);60257;M Theologie;voltijd onderwijs;master;32;4;44;3;42;3;41;2;31;4
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50645;B Bedrijfskunde;voltijd onderwijs;bachelor;253;209;267;213;260;230;274;245;299;261
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50645;B Bedrijfskunde;voltijd onderwijs;propedeuse bachelor;282;170;339;215;345;214;314;190;317;198
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50950;B Economie en Bedrijfseconomie;voltijd onderwijs;bachelor;123;54;132;72;140;55;161;75;191;84
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50950;B Economie en Bedrijfseconomie;voltijd onderwijs;propedeuse bachelor;157;60;207;60;248;85;257;78;248;90
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);60644;M Business Administration;voltijd onderwijs;master;0;0;201;177;207;184;187;164;191;162
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);66401;M Economics;voltijd onderwijs;master;80;43;92;50;97;60;119;54;110;60
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);66834;M Bedrijfskunde;voltijd onderwijs;master;275;199;0;0;0;0;0;0;0;0
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);50035;B Culturele Antropologie en Ontwikkelingssociologie;voltijd onderwijs;bachelor;22;88;22;102;20;119;21;95;18;76
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);50035;B Culturele Antropologie en Ontwikkelingssociologie;voltijd onderwijs;propedeuse bachelor;11;81;8;61;17;34;18;44;15;44
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56601;B Sociologie;voltijd onderwijs;bachelor;31;36;24;48;30;69;27;68;28;59
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56601;B Sociologie;voltijd onderwijs;propedeuse bachelor;27;40;28;51;22;38;17;29;15;44
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56604;B Psychologie;voltijd onderwijs;bachelor;189;645;188;648;157;603;137;562;145;503
