"city","male","female"
"AMSTERDAM","44.54838800190802","55.45161199809198"
"BREDA","28.23920265780731","71.76079734219269"
"DELFT","76.70306012609565","23.29693987390435"
"EINDHOVEN","77.73764456638766","22.262355433612335"
"ENSCHEDE","63.990879522516174","36.00912047748382"
"GRONINGEN","49.16494288596554","50.83505711403446"
"LEIDEN","40.97824174535218","59.021758254647814"
"MAASTRICHT","44.10603170933749","55.893968290662514"
"NIJMEGEN","42.88842981625013","57.11157018374986"
"ROTTERDAM","51.860434322033896","48.139565677966104"
"TILBURG","52.98628413846489","47.01371586153511"
"UTRECHT","41.94416057690454","58.05583942309547"
"WAGENINGEN","45.95264439035185","54.04735560964815"
