OPLEIDINGSNAAM_ACTUEEL,TotalStudents
studies,
studies.Bedrijfskunde,866
studies.International Business Administration,2728
studies.Psychologie,3668
studies.Onderwijskunde,243
studies.Communicatiewetenschap,1383
studies.Bestuurskunde,463
studies.European Public Administration,1326
studies.Klinische Technologie,1833
studies.Gezondheidswetenschappen,761
studies.Technology and Liberal Arts & Sciences,259
studies.Advanced Technology,1239
studies.Creative Technology,1294
studies.Bedrijfsinformatie-technologie,573
studies.Biomedische Technologie,1167
studies.Telematica,14
studies.Civiele Techniek,1462
studies.Electrical Engineering,1093
studies.Industrieel Ontwerpen,1985
studies.Scheikundige Technologie,804
studies.Technische Natuurkunde,1059
studies.Technische Informatica,1181
studies.Technische Wiskunde,595
studies.Werktuigbouwkunde,2280
studies.Technische Bedrijfskunde,1547
