"OPLEIDINGSNAAM_ACTUEEL","TotalStudents"
"B American Studies","1123"
"B Wijsbegeerte van een Bepaald Wetenschapsgebied","616"
"B English Language and Culture","1174"
"B Internationale Betrekkingen en Internationale Organisatie","3577"
"B Liberal Arts and Sciences","218"
"B Communicatie- en Informatiewetenschappen","1655"
"B Internationaal en Europees Recht","1660"
"B Kunsten, Cultuur en Media","1149"
"B Notarieel Recht","278"
"B Kunstgeschiedenis","418"
"B Fiscaal Recht","695"
"B Religiewetenschappen","174"
"B Recht en Bestuur","177"
"B Finoegrische Talen en Culturen","35"
"B Rechtsgeleerdheid","8716"
"B Media en Cultuur","189"
"B Recht en ICT","335"
"B Slavische Talen en Culturen","43"
"B European Law School","249"
"B Griekse en Latijnse Taal en Cultuur","266"
"B Farmaceutische Wetenschappen","25"
"B Europese Talen en Culturen","1192"
"B Scandinavische Talen en Culturen","95"
"B Minorities & Multilingualism","87"
"B Engelse Taal en Cultuur","262"
"B Geschiedenis","3235"
"B Duitse Taal en Cultuur","166"
"B Romaanse Talen en Culturen","403"
"B Nederlandse Taal en Cultuur","815"
"B Theologie","317"
"B Wijsbegeerte","855"
"B Taalwetenschap","681"
"B Midden-Oostenstudies","348"
"B Archeologie","407"
"B Technische Bedrijfskunde","2150"
"B Godsdienstwetenschap","151"
"B Kunstmatige Intelligentie","1225"
"B Wiskunde","866"
"B Technische Wiskunde","157"
"B Informatica","871"
"B Biologie","2653"
"B Scheikunde","822"
"B Technische Natuurkunde","545"
"B Informatiekunde","495"
"B Life Science and Technology","2111"
"B Farmacie","2043"
"B Scheikundige Technologie","605"
"B Natuurkunde","1145"
"B Sterrenkunde","372"
"B Bewegingswetenschappen","2057"
"B International Business","5496"
"B Tandheelkunde","949"
"B Geneeskunde","7291"
"B Sociale Geografie en Planologie","1763"
"B Accountancy en Controlling","493"
"B Pedagogische Wetenschappen","3799"
"B Psychologie","10693"
"B Sociologie","1350"
"B Bedrijfskunde","7975"
"B Technische Planologie","866"
"B Econometrie en Operationele Research","1714"
"B Fiscale Economie","154"
"B Bedrijfseconomie","646"
"B Technologie Management","326"
"B Economie en Bedrijfseconomie","4719"
