"OPLEIDINGSNAAM_ACTUEEL","TotalStudents"
"B Molecular Science and Technology","649"
"B Wiskunde","933"
"B Rechtsgeleerdheid","13516"
"B Slavische Talen en Culturen","18"
"B Fiscaal Recht","2427"
"B Chinastudies","1246"
"B Notarieel Recht","992"
"B Italiaanse Taal en Cultuur","187"
"B Liberal Arts and Sciences: Global Challenges","3635"
"B Informatica","1333"
"B Molecular Science and Technology (joint degree)","463"
"B Franse Taal en Cultuur","376"
"B Life Science and Technology (joint degree)","52"
"B Biologie","1782"
"B International Studies","4180"
"B Life Science and Technology","738"
"B Talen en Culturen van Mesopotamie en Anatolie","5"
"B Engelse Taal en Cultuur","2021"
"B Hebreeuwse en Joodse Studies","40"
"B Japanstudies","1717"
"B Wereldgodsdiensten","109"
"B Duitse Taal en Cultuur","204"
"B Ruslandkunde","29"
"B Bio-Farmaceutische Wetenschappen","2748"
"B Vergelijkende Indo-Europese Taalwetenschap","16"
"B Nederlandse Taal en Cultuur","715"
"B Film- en Literatuurwetenschap","681"
"B Natuurkunde","1012"
"B Russische Studies","260"
"B Biomedische Wetenschappen","1059"
"B Religiewetenschappen","134"
"B Sterrenkunde","678"
"B Griekse en Latijnse Taal en Cultuur","424"
"B Kunstgeschiedenis","971"
"B Egyptische Taal en Cultuur","9"
"B Culturele Antropologie en Ontwikkelingssociologie","1335"
"B Criminologie","2166"
"B Talen en Culturen van Indonesie","5"
"B Geschiedenis","4351"
"B Psychologie","8830"
"B Talen en Culturen van India en Tibet","13"
"B Afrikaanse talen en culturen","98"
"B Latijns-Amerikastudies","632"
"B Taalwetenschap","752"
"B Nederlandkunde/Dutch Studies","210"
"B Politicologie","3717"
"B Wijsbegeerte","899"
"B Pedagogische Wetenschappen","4409"
"B Midden-Oostenstudies","606"
"B Koreastudies","538"
"B Zuid- en Zuidoost-Aziestudies","240"
"B Geneeskunde","5598"
"B Godgeleerdheid","46"
"B Bestuurskunde","3752"
"B Islamstudies","76"
"B Klinische Technologie (joint degree)","3"
"B Oude Culturen van de Mediterrane Wereld","297"
"B Archeologie","1323"
