"OPLEIDINGSNAAM_ACTUEEL","TotalStudents"
"B Psychologie","4822"
"B Europese Studies","4834"
"B Econometrie en Operationele Research","983"
"B Fiscale Economie","787"
"B Economie en Bedrijfseconomie","4021"
"B International Business","9009"
"B Cultuurwetenschappen","2048"
"B Liberal Arts and Sciences","3989"
"B Fiscaal Recht","857"
"B Rechtsgeleerdheid","2382"
"B European Law School","3952"
"B Kennistechnologie","833"
"B Biomedische Wetenschappen","2876"
"B Gezondheidswetenschappen","3907"
"B Geneeskunde","5204"
"B European Public Health","1405"
