"OPLEIDINGSNAAM_ACTUEEL","TotalStudents"
"B Communicatiewetenschap","1396"
"B Pedagogische Wetenschappen","4488"
"B Politicologie","1510"
"B Psychologie","6882"
"B Sociologie","731"
"B Culturele Antropologie en Ontwikkelingssociologie","916"
"B Economie en Bedrijfseconomie","2577"
"B Bedrijfskunde","5095"
"B Bestuurskunde","1344"
"B Geografie, Planologie en Milieu","1414"
"B Geneeskunde","5626"
"B Tandheelkunde","1079"
"B Biomedische Wetenschappen","1650"
"B Communicatie- en Informatiewetenschappen","2181"
"B Kunstgeschiedenis","362"
"B Algemene Cultuurwetenschappen","671"
"B Engelse Taal en Cultuur","1684"
"B Duitse Taal en Cultuur","296"
"B Nederlandse Taal en Cultuur","609"
"B Taalwetenschap","425"
"B Taal- en Cultuurstudies","37"
"B Theologie","112"
"B Wijsbegeerte","1085"
"B Romaanse Talen en Culturen","511"
"B Kunstmatige Intelligentie","1193"
"B Geschiedenis","2055"
"B Griekse en Latijnse Taal en Cultuur","317"
"B Religiewetenschappen","404"
"B Informatiekunde","116"
"B Scheikunde","889"
"B Biologie","3108"
"B Science","527"
"B Informatica","1025"
"B Wiskunde","967"
"B Notarieel Recht","790"
"B Rechtsgeleerdheid","6793"
"B European Law School","1225"
"B Moleculaire Levenswetenschappen","886"
"B Natuur- en Sterrenkunde","1332"
"B Islam en Arabisch","73"
