id,value
Klinische Technologie (joint degree),1
Bestuurskunde,1926
Geneeskunde,7044
Pedagogische Wetenschappen,1305
Gezondheidswetenschappen,2013
Psychologie,4575
Rechtsgeleerdheid,10907
Criminologie,1668
Fiscaal Recht,2457
International Bachelor's Programme in Communication and Media,2459
Liberal Arts and Sciences,932
Econometrie en Operationele Research,3634
Geschiedenis,1250
Fiscale Economie,1503
Wijsbegeerte,850
International Business Administration,6754
Algemene Cultuurwetenschappen,1315
Economie en Informatica,30
Wijsbegeerte van een Bepaald Wetenschapsgebied,1119
Economie en Bedrijfseconomie,11986
Nanobiologie (joint degree),25
Bedrijfskunde,10709
Sociologie,1058
