id,value
Gezondheid en Maatschappij,948
Internationaal Land- en Waterbeheer,1002
Economie en Beleid,552
Bos- en Natuurbeheer,1099
Milieuwetenschappen,536
Agrotechnologie,586
Plantenwetenschappen,758
Bedrijfs- en Consumentenwetenschappen,2205
Internationale Ontwikkelingsstudies,1573
Biotechnologie,1330
Landschapsarchitectuur en ruimtelijke planning,1037
Dierwetenschappen,1727
Biologie,2441
Voeding en Gezondheid,2247
Bodem, Water, Atmosfeer,1161
Levensmiddelentechnologie,1733
Moleculaire Levenswetenschappen,936
Communicatiewetenschappen,304
Tourism (joint degree),420
