id,value
Klinische Technologie (joint degree),518
Molecular Science and Technology (joint degree),87
Life Science and Technology (joint degree),437
Nanobiologie (joint degree),825
Life Science and Technology,972
Bouwkunde,6344
Civiele Techniek,7040
Electrical Engineering,2114
Industrieel Ontwerpen,5540
Luchtvaart- en Ruimtevaarttechniek,7125
Maritieme Techniek,2208
Technische Aardwetenschappen,1564
Technische Natuurkunde,3691
Technische Informatica,3214
Technische Wiskunde,1721
Werktuigbouwkunde,10027
Technische Bestuurskunde,4050
Molecular Science and Technology,1050
